ArtistID,ArtistName,LoginID,Password,TotalSongs,UsersFollowing,ArtistBio,Payment
1,"Alka Yagnik",tvoyrgpiw,kbmiaczcm,1,13,"She is noted in Indian cinema for a career spanning over three decades.",9909105
2,"Arijit Singh",ggzgxnfmm,eovwkrmgn,1,110,"He sings predominantly in Hindi and Bengali but has also performed in various other Indian languages.",5588288
3,"Asha Bhosle",ffjyvifca,tjauszosd,1,129,"She is best known for her playback singing in Hindi cinema, although she has a wider repertoire.",875190
4,"Neha Kakkar",aypbngnez,flepalbdb,2,42,"She competed on season 2 of the television reality show Indian Idol in 2006 ",3191418
5,"Shreya Ghoshal",ralpzjemq,faafkpdkt,3,31,"She has received four National Film Awards, four Kerala State Film Awards, two Tamil Nadu State Film Awards, seven Filmfare Awards ",6793888
6,"Vishal Shekar",tmrazmqic,mykjbwgtz,1,23,"Vishal n Shekhar are an Indian music production, singer & songwriting duo.",613993
7,"Kishore Kumar",hgxeodszf,rbaofptps,1,173,"Abhas Kumar Ganguly (born 4 August 1929 - 13 October 1987), better known by his stage name Kishore Kumar was an Indian playback singer, actor, music director, lyricist, writer, director, producer and screenwriter.",8496762
8,"A.R. Rahman",adocgyzst,fwjgeymzg,1,184,"Allahrakka Rahman born A. S. Dileep Kumar on 6 January 1967), known professionally as A. R. Rahman, is an Indian composer, singer and music producer.",9682491
9,"Atif Aslam",ivzbligfr,vxtyxihwh,1,136,"Muhammad Atif Aslam born 12 March 1985 is a Pakistani playback singer and actor.",3336911
10,"Sonu Nigam",rlsedkqjx,ohpymlhzn,2,186,"Sonu Nigam (born 30 July 1973) is an Indian playback singer, live performer, composer, host, and actor.",5635701
11,"Kumar Sanu",gyhnqswzc,ukcfyytzg,3,3,"Kedarnath Bhattacharjee (born 20 October 1957), better known as Kumar Sanu, is an Indian playback singer who mainly sings for Hindi and Bengali films.",2726314
12,Pritam,yhajwuvcl,xsjilzcfl,2,37,"Pritam Chakraborty (born 14 June 1971), also known mononymously as Pritam, is an Indian composer, instrumentalist, electronic guitar player, singer for Bollywood films.",2537943
13,Badshah,yojmgqjav,ogoyqmyrk,1,115,"Aditya Prateek Singh Sisodia, better known by his stage name Badshah, is an Indian rapper and singer known for his Hindi, Haryanvi, and Punjabi songs.",8027790
14,"Anu Malik",plgybtykd,oexaohmrq,1,187,"Anwar Sardar Malik (born 2 November 1960), best known as Anu Malik, is an Indian music director and singer.",9372065
15,"Diljit Dosanjh",pemjkwpyn,ugdcekzaz,1,156,"Diljit Dosanjh (born 6 January 1984) is an Indian singer, actor, television presenter and social media celebrity[1] who works in Punjabi and Hindi cinema.",8665687
16,"Shankar Mahadevan",pfyyqrgzi,skvombaak,1,114,"Shankar Mahadevan (born 3 March 1967) is an Indian singer and composer who is part of the Shankar Ehsaan Loy composing trio team for Indian films.",6083701
17,"Shankar Ehsaan Loy",uavvpokjt,xtkrqdwdc,2,156,"Shankar Ehsaan Loy (About this soundpronunciation (help info)) is an Indian musical trio consisting of Shankar Mahadevan, Ehsaan Noorani and Loy Mendonsa.",3094639
18,"Bappi Lahiri",gzzyqegya,jsniuufta,1,57,"Alokesh Lahiri is an Indian singer, composer, dancer, disco musician, actor and record producer. He popularized the use of synthesized disco music in Indian cinema and sang some of his own compositions.",8507594
19,Shaan,huedtpfgy,yqtfupejd,2,83,"Shantanu Mukherjee (born 30 September 1972), known as Shaan, is an Indian playback singer active in Hindi, Bengali, Marathi, Urdu, Telugu and Kannada films and a television host.",3657384
20,S.D.Burman,duaoajuzo,fhwjemkoj,2,157,"Sachin Dev Burman (1 October 1906 to 31 October 1975) was an Indian music director and singer. A member of the Tripura royal family, he started his career with Bengali films in 1937. ",4248571
21,"Gajendra Verma",ymniualtz,zjhllhkpk,1,94,"Gajendra Verma is an Indian singer, composer, lyricist and sound recordist . He came under the spotlight when he claimed that his song, titled Emptiness, also known as Tune Mere Jaana.",4211375
22,"Benny Dayal",tzeqmgcdl,lmdzkbuxv,1,7,"Benny Dayal (born 13 May 1984) is an Indian playback singer. He is a prominent singer in Hindi, Tamil, Telugu, Malayalam, Kannada, Bengali, Gujarati and Marathi languages films.",4182814
23,"Richa Sharma",edfxxdsjx,livpcchzr,1,168,"Richa Sharma (born 29 August 1974) is an Indian film playback singer as well a devotional singer.[1][2]",9963654
24,"Falguni Pathak",lnpkyothz,eenhgcjpb,5,106,"Falguni Pathak (born 12 March 1964) is an Indian singer, performing artist, and composer based in Mumbai. Her music is based on traditional musical forms from the Indian state of Gujarat. ",1974365
25,"Meet Bros",lkbkdkjlo,oyplhwqpc,1,100,"Meet Bros is a music director duo from Gwalior, Madhya Pradesh, India.",5787652
26,"Mika Singh",zasgdtncr,ibpgjissq,1,123,"Mika Singh is an Indian playback singer and live performer. Amongst a wide catalogue of songs, the prominent ones are Bas Ek King (Singh Is Kinng), Mauja Hi Mauja (Jab We Met), Ibn e Batuta (Ishqiya), and Dhanno (Housefull). ",5289229
27,"Sanjay Oza",vvmedtqtp,qlukhiuhx,3,124,"SANJAY OZA- A soulful singer, with a voice full of strength and expression.",2119029
28,"Parth Chaudhary",oakozingf,mmkhghvdw,2,113,"Parth Chaudhary is one among the Gujrati song artists of India.",4014060
29,"Geeta Rabari",tckqjkcdp,vxmnajlmy,2,40,"Geeta Rabari was born on 31 December 1996 in Kutch, Gujarat.",4453874
30,"Vijay Suvada",vbewjalje,kjegthhwk,1,62,"Vijay Suvada is one among the Gujrati song artists of India.",8025033
31,"Sachin Jigar",egpxiyvto,hrbxkhduf,2,70,"Sachin Jigar is a music composer duo from Mumbai, India, consisting of Sachin Sanghvi and Jigar Saraiya. They compose for Bollywood and Gujarati movies.",6212840
32,"Jayker Bhojak",lhpctfpxe,tardqfyur,3,77,"Jaishankar Bhudhardas Bhojak, (30 January 1889 - 22 January 1975) better known by his theatre name Jaishankar Sundari , was an Indian actor and director of Gujarati theatre.",5309914
33,"Shyamal Saumil",shgwvamxz,aemjvyboa,2,23,"Shyamal Saumil is an Indian classical music duo formed in 1980, in Ahmedabad, Gujarat, India, composed of the Gujarati singers, Dr. Shyamal Munshi and Saumil Munshi.",9906256
34,"Aarti Munshi",snqporhdb,tilcorama,3,140,"Aarti Munshi is a popular gujrati singer.",4418037
35,"Vatsala Patil",ycbkdwdfp,urjbqzbvw,2,113,"Vatsala Patil was born in a simple middle class family on August 22, 1959,(Border line between LEO and VIRGO sun signs) in Vadodara, Gujarat, India",7196626
36,"Bhoomi Trivedi",wpfhelgjf,yhazjlpms,1,52,"Bhoomi Trivedi is an Indian singer, known for her Bollywood songs Ram Chahe Leela from Goliyon Ki Raasleela: Ram Leela (2013)",3746023
37,"Atul Purohit",cvtjxshvu,zkwnjmnqw,1,38,"ATUL PUROHIT is the KING of timeless DANDIYA - GARBA hits, and a Limca Records holder",2360622
38,"Paritosh Goswami",fmtioksmy,bhplfqvbk,1,49,"Paritosh Goswami is a director and actor, known for Kabhi Yuh Bhi Toh Ho (2014)",7660433
39,"Sachin Limaye",fxidymyrm,ascuiaevr,1,31,"Sachin Limaye is renowned singer from Gujarat, India",5566484
